name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Marryk Degoey,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebas Swiggum,293,3,0.99,55,2,0.965,0,0,0,33,0,1,4,0,1,8,0,1,6,2,0.75,0,0,0
Brady Gross,262,3,0.989,52,5,0.912,1,1,0.5,26,0,1,2,0,1,9,0,1,7,3,0.7,0,0,0
Tyler Kim,277,3,0.989,53,6,0.898,2,0,1,23,0,1,0,0,0,6,2,0.75,8,3,0.727,0,1,0
Devin Roberts,207,6,0.972,47,9,0.839,3,1,0.75,18,0,1,1,0,1,1,1,0.5,18,4,0.818,0,1,0
Adam Mickelson,145.5,3,0.98,40,8,0.833,1,0,1,12,2,0.857,4,0,1,7,1,0.875,11,5,0.688,0,0,0
Martin Stewart,81.5,12,0.872,27,9,0.75,0,1,0,3,0,1,11,0,1,3,0,1,8,8,0.5,0,0,0
Dylan Anderson,187,15,0.926,43,16,0.729,0,0,0,28,2,0.933,1,0,1,3,0,1,3,14,0.176,0,0,0
Michael Mattison,141,19,0.881,36,17,0.679,0,2,0,13,0,1,0,0,0,2,4,0.333,14,10,0.583,0,0,0
Tony Anger,165,24,0.873,36,17,0.679,0,0,0,22,8,0.733,0,0,0,0,0,0,6,9,0.4,0,0,0
Hai Wei Ma,7,0,1,4,2,0.667,0,0,0,3,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0
Conner Elliott,18,0,1,7,4,0.636,0,0,0,4,2,0.667,0,0,0,0,0,0,0,1,0,0,0,0
Zorro Sanchez,33,0,1,10,6,0.625,0,1,0,4,3,0.571,0,0,0,1,0,1,2,2,0.5,0,0,0
Regan Schrempp,70,31,0.693,18,12,0.6,0,0,0,10,1,0.909,0,1,0,1,2,0.333,3,7,0.3,0,0,0
Arath Noveron,16,0,1,3,2,0.6,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Fernandez,9,0,1,3,2,0.6,0,0,0,1,2,0.333,0,0,0,0,0,0,1,0,1,0,0,0
Jayden Haueter,17.5,6,0.745,7,5,0.583,0,0,0,3,1,0.75,1,0,1,1,1,0.5,0,3,0,0,0,0
Travis Bender,19,12,0.613,6,5,0.545,0,0,0,2,4,0.333,0,0,0,0,0,0,3,1,0.75,0,0,0
Ian Haueter,43,29,0.597,10,9,0.526,0,1,0,4,6,0.4,0,1,0,0,1,0,2,0,1,0,0,0
Parker Elliot,11,6,0.647,4,4,0.5,0,0,0,1,1,0.5,0,0,0,0,0,0,2,1,0.667,0,0,0
Cade Sungaard,8,6,0.571,5,5,0.5,0,0,0,3,4,0.429,0,1,0,0,0,0,1,0,1,0,0,0
Eric Fernandez,2.5,0,1,2,2,0.5,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Austin Laudenbach,53.5,61,0.467,24,26,0.48,0,0,0,5,8,0.385,1,3,0.25,3,4,0.429,6,10,0.375,0,0,0
Joey Anderson,68,72,0.486,23,26,0.469,1,1,0.5,8,15,0.348,0,0,0,1,1,0.5,5,9,0.357,0,0,0
Tashaud Nelson,7,0,1,3,4,0.429,0,0,0,1,1,0.5,0,0,0,0,0,0,1,3,0.25,0,0,0
Tyshawn Gow,9,0,1,3,4,0.429,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Puit,0,0,0,3,4,0.429,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Le,0,6,0,2,3,0.4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Max Harvey,32,39,0.451,9,15,0.375,0,0,0,3,0,1,0,3,0,2,6,0.25,1,6,0.143,0,0,0
Guillermo Padilla,3,0,1,1,2,0.333,0,0,0,1,2,0.333,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Aceret,18,45,0.286,6,12,0.333,0,0,0,4,10,0.286,0,0,0,0,1,0,0,1,0,0,0,0
Zach Saint-Jean,4,0,1,2,4,0.333,0,0,0,1,3,0.25,0,0,0,0,1,0,0,0,0,0,0,0
Jabril Ali,6,12,0.333,1,2,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Helios Alvarado,0,0,0,1,2,0.333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
DeShaun Holmes,0,0,0,1,2,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
John Krohn,0,0,0,1,2,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Noveron,0,0,0,2,4,0.333,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Rosas,0,0,0,1,2,0.333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Spaeth,0,0,0,1,2,0.333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
