name,Match Points,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Canon Swanson,314,77,0.803,93,5,0.949,14,57,0.197,8,3,0.727,1,2,0.333,17,0,1,4,13,0.235,11,0,1
Tyler Bents,350,97,0.783,107,15,0.877,33,49,0.402,9,5,0.643,4,2,0.667,18,1,0.947,7,16,0.304,9,0,1
Walker Bents,318,102,0.757,89,17,0.84,26,44,0.371,11,6,0.647,6,4,0.6,20,3,0.87,11,15,0.423,10,0,1
Michael Doubek,164,137,0.545,56,22,0.718,18,55,0.247,7,2,0.778,1,3,0.25,2,8,0.2,8,6,0.571,1,1,0.5
Tyler Jensen,242,141,0.632,62,29,0.681,41,51,0.446,16,4,0.8,5,5,0.5,6,0,1,21,8,0.724,9,2,0.818
Blaine Fischer,298,102,0.745,51,26,0.662,23,8,0.742,27,5,0.844,6,6,0.5,27,5,0.844,5,12,0.294,11,4,0.733
Ryan Jensen,214,176,0.549,46,33,0.582,18,23,0.439,9,8,0.529,2,5,0.286,19,13,0.594,5,10,0.333,10,4,0.714
Mark Jenniges,141,94,0.6,33,25,0.569,32,18,0.64,4,3,0.571,0,0,0,5,1,0.833,6,6,0.5,5,1,0.833
Taiton Linder,78,109,0.417,19,23,0.452,20,6,0.769,4,7,0.364,1,1,0.5,0,7,0,10,6,0.625,2,1,0.667
Dylan T. Kampsen,220,241,0.477,49,60,0.45,39,44,0.47,11,6,0.647,0,1,0,8,10,0.444,8,3,0.727,8,7,0.533
Thaniel Cebulla,33,42,0.44,8,11,0.421,3,3,0.5,2,4,0.333,0,0,0,1,1,0.5,1,2,0.333,0,3,0
Maximus Hanson,85,126,0.403,17,32,0.347,18,15,0.545,7,3,0.7,1,0,1,1,4,0.2,6,1,0.857,6,5,0.545
Evan Young,47,93,0.336,9,21,0.3,13,6,0.684,3,6,0.333,0,0,0,3,8,0.273,6,1,0.857,0,4,0
Isaac Kampsen,55,138,0.285,13,39,0.25,7,6,0.538,3,5,0.375,2,0,1,3,15,0.167,1,0,1,3,1,0.75
Wyatt Engen,2,6,0.25,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jebadia Jones,28,79,0.262,5,20,0.2,3,2,0.6,3,5,0.375,1,0,1,3,3,0.5,2,3,0.4,1,7,0.125
Bryce Feuerhake,19,54,0.26,5,21,0.192,5,4,0.556,0,3,0,2,0,1,1,0,1,2,2,0.5,0,0,0
Ethan Spanier,17,65,0.207,2,17,0.105,3,5,0.375,1,1,0.5,0,0,0,2,8,0.2,0,0,0,1,0,1
Cooper Wold,61,141,0.302,6,52,0.103,28,5,0.848,2,5,0.286,0,2,0,5,4,0.556,2,2,0.5,0,4,0
Triston Guzier,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Feldman,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Klaphake,0,8,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
