name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Canon Swanson,254,0,1,45,1,0.978,0,0,0,20,0,1,2,0,1,7,0,1,14,1,0.933,0,0,0
Tyler Bents,261.5,0,1,44,3,0.936,0,0,0,17,0,1,3,0,1,12,0,1,7,3,0.7,0,0,0
Walker Bents,244,0,1,45,6,0.882,0,0,0,23,0,1,3,0,1,5,1,0.833,11,5,0.688,0,0,0
Blaine Fischer,195.5,6,0.97,39,10,0.796,0,0,0,11,1,0.917,4,0,1,4,1,0.8,17,7,0.708,0,1,0
Tyler Jensen,188,15,0.926,35,14,0.714,0,0,0,16,0,1,0,0,0,4,2,0.667,13,11,0.542,1,0,1
Michael Doubek,114,19,0.857,22,11,0.667,1,0,1,7,4,0.636,0,0,0,2,3,0.4,10,4,0.714,1,0,1
Mark Jenniges,156,33,0.825,24,14,0.632,0,0,0,7,7,0.5,0,0,0,3,0,1,9,7,0.563,0,0,0
Ryan Jensen,143,32,0.817,26,19,0.578,1,0,1,13,9,0.591,1,1,0.5,7,3,0.7,2,6,0.25,0,0,0
Taiton Linder,92,13,0.876,17,13,0.567,0,1,0,9,2,0.818,0,0,0,0,3,0,5,7,0.417,0,0,0
Dylan T. Kampsen,127,50,0.718,22,23,0.489,0,0,0,8,13,0.381,0,1,0,5,3,0.625,7,5,0.583,0,0,0
Evan Young,43,0,1,7,8,0.467,0,0,0,6,1,0.857,0,1,0,0,2,0,0,4,0,0,0,0
Maximus Hanson,55,25,0.688,10,13,0.435,0,0,0,3,5,0.375,0,2,0,2,0,1,4,5,0.444,0,0,0
Thaniel Cebulla,30,39,0.435,6,14,0.3,0,0,0,4,12,0.25,0,0,0,0,0,0,1,2,0.333,0,0,0
Wyatt Engen,6,0,1,1,3,0.25,0,0,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Jebadia Jones,48,60,0.444,6,20,0.231,0,0,0,5,19,0.208,0,0,0,0,0,0,0,1,0,0,0,0
Isaac Kampsen,37,82,0.311,9,32,0.22,0,0,0,6,29,0.171,0,2,0,0,1,0,2,0,1,0,0,0
Bryce Feuerhake,22,42,0.344,5,22,0.185,0,0,0,4,22,0.154,0,0,0,0,0,0,0,0,0,0,0,0
Cooper Wold,15,48,0.238,3,21,0.125,0,0,0,1,17,0.056,0,1,0,0,1,0,1,2,0.333,0,0,0
Ethan Spanier,3,13,0.188,1,9,0.1,0,0,0,1,6,0.143,0,1,0,0,1,0,0,1,0,0,0,0
Joseph Feldman,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Triston Guzier,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Klaphake,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
