name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Cody Headbird,21,0,1,5,0,1,0,0,0,2,0,1,0,0,0,1,0,1,2,0,1,0,0,0
Ian Frenzel,270.5,6,0.978,50,4,0.926,0,0,0,29,1,0.967,4,0,1,3,0,1,9,3,0.75,0,0,0
Trevor Janssen,182,7,0.963,36,5,0.878,0,0,0,24,0,1,2,0,1,1,2,0.333,2,3,0.4,0,0,0
Mason Smid,199,10,0.952,45,11,0.804,1,1,0.5,27,0,1,1,0,1,3,2,0.6,7,8,0.467,1,0,1
Trenten Juelson,34,0,1,11,4,0.733,0,0,0,6,0,1,0,0,0,0,0,0,2,3,0.4,0,0,0
Christian Pater,104,34,0.754,24,10,0.706,0,0,0,10,4,0.714,0,0,0,4,1,0.8,7,5,0.583,0,0,0
Logan Dobmeier,139,25,0.848,30,13,0.698,0,1,0,14,2,0.875,0,0,0,4,2,0.667,8,7,0.533,0,0,0
Xayvion Rodgers,106,22,0.828,25,12,0.676,0,0,0,16,2,0.889,0,0,0,1,3,0.25,2,6,0.25,0,0,0
Eli Sharbono,106.5,31,0.775,27,13,0.675,0,0,0,7,6,0.538,2,0,1,2,2,0.5,10,5,0.667,0,0,0
Allen Masten,66,30,0.688,12,13,0.48,0,0,0,5,12,0.294,0,0,0,0,0,0,0,1,0,0,0,0
Landon Gross,79,86,0.479,20,29,0.408,0,0,0,8,9,0.471,0,3,0,1,6,0.143,4,11,0.267,1,0,1
Brayden Rose,52,36,0.591,12,18,0.4,0,0,0,6,14,0.3,0,0,0,0,1,0,1,2,0.333,0,0,0
Joe Briski,0,12,0,3,5,0.375,0,0,0,1,5,0.167,0,0,0,0,0,0,1,0,1,0,0,0
Christian Schmidt,19,35,0.352,6,12,0.333,0,0,0,1,5,0.167,0,2,0,0,1,0,3,3,0.5,0,0,0
Colter Humphrey,39,97,0.287,14,28,0.333,0,0,0,3,22,0.12,0,0,0,0,1,0,5,5,0.5,0,0,0
Michael Tischbirek,12,24,0.333,2,4,0.333,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Roberts,16,90,0.151,9,21,0.3,0,0,0,4,21,0.16,0,0,0,0,0,0,0,0,0,0,0,0
Carter Pater,38,75,0.336,9,22,0.29,0,0,0,4,16,0.2,0,1,0,0,3,0,4,2,0.667,0,0,0
Jordan Howard,19,0,1,4,10,0.286,0,0,0,2,7,0.222,0,0,0,0,0,0,1,1,0.5,0,0,0
Tyreese Goodman,18,90,0.167,10,28,0.263,0,0,0,1,20,0.048,0,1,0,0,4,0,0,3,0,0,0,0
Gavyn Dickenson,3,0,1,1,3,0.25,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Charles Briski,7,0,1,1,4,0.2,0,0,0,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0
Keeton Yates,9,0,1,1,4,0.2,0,0,0,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0
Trevor Croaker,9,0,1,1,4,0.2,0,0,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Hughs,9,0,1,1,5,0.167,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Shayne Swedberg,9,10,0.474,2,11,0.154,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0
Jastyn Rodgers,6,67,0.082,2,17,0.105,0,0,0,1,11,0.083,0,1,0,0,2,0,0,3,0,0,0,0
Emilio Carmona,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Reeves,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
