name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Carson vanSytzama,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Poll,36,3,0.923,13,1,0.929,0,0,0,10,0,1,0,0,0,0,0,0,2,1,0.667,0,0,0
Tanner Kroells,141.5,9,0.94,34,4,0.895,0,0,0,10,1,0.909,5,0,1,9,0,1,8,3,0.727,0,0,0
Edward Hajas,127,12,0.914,34,5,0.872,2,0,1,14,0,1,0,0,0,4,1,0.8,7,3,0.7,0,0,0
Carson Tschudi,162,0,1,37,6,0.86,0,0,0,14,0,1,0,1,0,10,0,1,11,5,0.688,0,0,0
Matt Baker,140,6,0.959,29,7,0.806,0,0,0,19,3,0.864,0,0,0,0,0,0,5,4,0.556,0,0,0
Saul Streachek,22,3,0.88,15,4,0.789,0,0,0,12,3,0.8,0,0,0,0,0,0,2,1,0.667,0,0,0
Dylan McIntire,48,4,0.923,11,3,0.786,0,0,0,4,1,0.8,1,0,1,2,1,0.667,4,1,0.8,0,0,0
Tyson Kroells,177,15,0.922,32,9,0.78,0,1,0,7,2,0.778,7,0,1,4,0,1,8,6,0.571,0,0,0
Ethan Quast,57,12,0.826,13,4,0.765,0,0,0,10,2,0.833,0,0,0,1,0,1,2,1,0.667,0,0,0
George Horobin,46,0,1,15,5,0.75,0,0,0,13,4,0.765,0,0,0,0,0,0,1,1,0.5,0,0,0
Reier Sjomeling,74.5,12,0.861,25,9,0.735,0,0,0,11,1,0.917,3,0,1,4,3,0.571,5,4,0.556,0,0,0
Clete Scherer,74,0,1,16,6,0.727,0,0,0,7,0,1,0,0,0,2,0,1,6,5,0.545,0,1,0
Andrew Sorenson,14,6,0.7,9,4,0.692,0,0,0,9,3,0.75,0,0,0,0,0,0,0,1,0,0,0,0
Weston Russek,66,12,0.846,18,8,0.692,0,1,0,8,4,0.667,0,0,0,1,1,0.5,6,2,0.75,0,0,0
Devyn Sieben,20,0,1,18,8,0.692,0,0,0,11,6,0.647,0,0,0,0,0,0,5,2,0.714,0,0,0
Jack Russell,56,9,0.862,13,6,0.684,2,0,1,1,1,0.5,0,1,0,0,0,0,5,4,0.556,0,0,0
Jack Stoffels,10,0,1,8,4,0.667,0,0,0,6,4,0.6,0,0,0,0,0,0,0,0,0,0,0,0
Wally Scherer,96,47,0.671,22,12,0.647,0,0,0,15,10,0.6,2,1,0.667,1,0,1,4,1,0.8,0,0,0
Jacob Roskowiak,0,6,0,9,5,0.643,0,0,0,5,4,0.556,0,0,0,0,0,0,4,1,0.8,0,0,0
Heston Larive,0,0,0,9,6,0.6,0,0,0,5,6,0.455,0,0,0,0,0,0,4,0,1,0,0,0
Cael Olson,54,62,0.466,26,19,0.578,0,0,0,16,8,0.667,0,0,0,2,3,0.4,7,8,0.467,0,0,0
Parker Sjomeling,8,9,0.471,16,12,0.571,0,0,0,9,10,0.474,0,0,0,0,0,0,5,2,0.714,0,0,0
Easton Beniek,37,35,0.514,14,11,0.56,0,0,0,11,5,0.688,0,0,0,0,2,0,2,4,0.333,0,0,0
Matthew Coons,23,18,0.561,10,8,0.556,0,0,0,6,5,0.545,0,0,0,2,1,0.667,1,2,0.333,0,0,0
Reed Schmidt,18,24,0.429,9,8,0.529,0,0,0,7,7,0.5,0,0,0,1,0,1,1,1,0.5,0,0,0
Adrian Navarrete,6,6,0.5,2,2,0.5,0,0,0,2,1,0.667,0,0,0,0,0,0,0,1,0,0,0,0
Leo Vanderlinde,70.5,63,0.528,15,20,0.429,0,0,0,9,9,0.5,1,2,0.333,0,2,0,4,7,0.364,0,0,0
Laken Triplett,0,0,0,9,13,0.409,0,0,0,6,10,0.375,0,0,0,0,0,0,2,3,0.4,0,0,0
Eric Rasmussen,66,70,0.485,17,25,0.405,0,1,0,2,8,0.2,0,1,0,2,3,0.4,9,12,0.429,0,0,0
Jorge Diaz-Mora,30,47,0.39,8,12,0.4,0,0,0,7,9,0.438,0,1,0,0,0,0,0,2,0,0,0,0
Aiden Quast,54,59,0.478,13,20,0.394,0,0,0,7,6,0.538,0,3,0,0,3,0,5,8,0.385,0,0,0
Peter Depa,0,0,0,11,17,0.393,0,0,0,8,12,0.4,0,0,0,0,1,0,2,4,0.333,0,0,0
Chase McClay,6,12,0.333,7,11,0.389,0,0,0,5,6,0.455,0,0,0,0,0,0,2,5,0.286,0,0,0
Max Harder,3,53,0.054,9,15,0.375,0,0,0,7,10,0.412,0,0,0,0,3,0,2,2,0.5,0,0,0
Ryan Rasmussen,41,84,0.328,10,22,0.313,0,0,0,7,13,0.35,0,2,0,0,3,0,0,3,0,0,0,0
Landon Hinchcliff,0,6,0,7,17,0.292,0,0,0,4,6,0.4,0,0,0,1,2,0.333,2,9,0.182,0,0,0
Joe Taylor,21,54,0.28,7,21,0.25,0,0,0,6,21,0.222,0,0,0,0,0,0,1,0,1,0,0,0
Noah Reither,6,0,1,5,15,0.25,0,0,0,3,11,0.214,0,2,0,0,2,0,1,0,1,0,0,0
Jadin Vetruba,4,26,0.133,7,22,0.241,0,0,0,2,12,0.143,0,1,0,0,0,0,4,9,0.308,0,0,0
David Boecker,6,48,0.111,6,20,0.231,0,0,0,6,16,0.273,0,2,0,0,1,0,0,1,0,0,0,0
Hayden Lynch,34,102,0.25,8,30,0.211,0,0,0,6,11,0.353,0,5,0,0,8,0,1,5,0.167,0,0,0
Aiden Mcdonald,0,0,0,2,16,0.111,0,0,0,0,12,0,0,0,0,0,0,0,2,4,0.333,0,0,0
