name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Lafayette Bade,160.5,12,0.93,30,8,0.789,0,0,0,18,4,0.818,0,0,0,1,0,1,7,3,0.7,0,0,0
Tyler Benson,164.5,11,0.937,33,10,0.767,1,1,0.5,15,0,1,3,1,0.75,6,4,0.6,5,3,0.625,0,0,0
Colton Pool,174.5,3,0.983,33,11,0.75,0,0,0,17,2,0.895,2,0,1,4,4,0.5,5,5,0.5,0,0,0
Gage Clem,122,19,0.865,27,9,0.75,0,0,0,9,3,0.75,2,0,1,3,4,0.429,8,2,0.8,0,0,0
Brady Thompson,108.5,12,0.9,18,8,0.692,0,0,0,11,8,0.579,0,0,0,1,0,1,3,0,1,0,0,0
Cody Eggers,8,0,1,2,1,0.667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hunter Larson,148,21,0.876,27,14,0.659,0,0,0,16,10,0.615,1,1,0.5,0,1,0,5,2,0.714,0,0,0
Gavin Hilyar,110,29,0.791,27,17,0.614,0,0,0,13,0,1,0,1,0,2,5,0.286,6,11,0.353,0,0,0
Lorser Wuanti,11.5,6,0.657,3,2,0.6,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Seth Hopkins,90,36,0.714,23,18,0.561,0,1,0,6,8,0.429,0,0,0,1,0,1,7,8,0.467,0,0,0
Harrison Simmonds,28,0,1,5,4,0.556,1,0,1,3,3,0.5,0,0,0,0,0,0,1,1,0.5,0,0,0
Eli Williams,98,51,0.658,22,22,0.5,1,1,0.5,10,4,0.714,0,3,0,2,2,0.5,5,10,0.333,0,0,0
Bryson Skoog,24,6,0.8,4,4,0.5,0,0,0,2,2,0.5,0,0,0,0,0,0,1,2,0.333,0,0,0
Wyatt Schimmelman,84,47,0.641,23,23,0.5,0,2,0,5,10,0.333,2,4,0.333,3,1,0.75,6,6,0.5,0,0,0
Colton Strain,107,57,0.652,23,24,0.489,0,0,0,12,7,0.632,0,3,0,3,6,0.333,3,8,0.273,0,0,0
Benson Kozitka,61,17,0.782,11,12,0.478,1,1,0.5,8,6,0.571,0,1,0,0,1,0,0,3,0,0,0,0
Anthony Hanson,53,37,0.589,8,10,0.444,0,0,0,2,5,0.286,0,0,0,0,1,0,2,4,0.333,0,0,0
John Krivich,58,61,0.487,17,23,0.425,0,0,0,8,12,0.4,0,2,0,1,1,0.5,5,8,0.385,0,0,0
Alex Sanborn,25,13,0.658,7,10,0.412,0,0,0,4,7,0.364,0,0,0,0,1,0,2,2,0.5,0,0,0
Cade Sabby,27,45,0.375,4,10,0.286,0,0,0,4,9,0.308,0,0,0,0,0,0,0,1,0,0,0,0
Eli Greenberg,0,21,0,0,6,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0
Jessie Hickman,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
