name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Cody Tewes,6,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hayden VanderVoort,137,0,1,28,1,0.966,0,0,0,26,1,0.963,0,0,0,0,0,0,0,0,0,0,0,0
Christian Kurth,236,6,0.975,44,3,0.936,0,0,0,21,1,0.955,1,0,1,3,1,0.75,9,1,0.9,0,0,0
Tate Card,188,7,0.964,38,6,0.864,0,0,0,20,1,0.952,0,0,0,3,2,0.6,11,3,0.786,0,0,0
Tristian Lang,123,3,0.976,30,7,0.811,0,0,0,11,0,1,0,0,0,5,0,1,9,6,0.6,0,1,0
Cody Kurth,183,13,0.934,37,9,0.804,0,0,0,15,3,0.833,0,0,0,3,1,0.75,12,3,0.8,0,1,0
Tucker Gifferson,150,3,0.98,32,8,0.8,0,0,0,18,1,0.947,0,0,0,2,0,1,7,7,0.5,0,0,0
Jordan Stenzel,169,15,0.918,34,11,0.756,0,1,0,11,1,0.917,5,0,1,4,1,0.8,8,8,0.5,0,0,0
Cale Luthens,163,15,0.916,37,12,0.755,0,1,0,9,0,1,0,0,0,3,1,0.75,18,9,0.667,0,0,0
Riley Gill,92,4,0.958,22,8,0.733,0,0,0,19,2,0.905,1,1,0.5,0,1,0,1,1,0.5,0,0,0
Alex Nelson,139,15,0.903,33,13,0.717,1,1,0.5,16,2,0.889,0,0,0,2,1,0.667,9,9,0.5,0,0,0
Josh Mitchell,84,12,0.875,19,8,0.704,1,0,1,10,6,0.625,2,0,1,1,1,0.5,4,1,0.8,0,0,0
Jesse Reiner,109,0,1,22,10,0.688,0,0,0,15,1,0.938,0,1,0,2,0,1,3,6,0.333,0,0,0
Grant Peirce,151,29,0.839,32,15,0.681,0,2,0,16,2,0.889,1,1,0.5,7,2,0.778,5,8,0.385,0,0,0
Camden Kron,118,16,0.881,24,12,0.667,1,0,1,16,7,0.696,1,0,1,2,1,0.667,3,3,0.5,0,0,0
Josiah Nelson,82,15,0.845,15,9,0.625,0,1,0,7,5,0.583,0,0,0,0,0,0,2,3,0.4,0,0,0
Marcus Smahel,108,48,0.692,25,20,0.556,0,0,0,15,16,0.484,0,0,0,1,0,1,2,4,0.333,0,0,0
Jay Rickertsen,26.5,21,0.558,7,6,0.538,0,0,0,3,4,0.429,1,1,0.5,0,0,0,2,1,0.667,0,0,0
Brady Andersen,51,24,0.68,11,11,0.5,0,0,0,7,4,0.636,0,1,0,1,0,1,2,6,0.25,0,0,0
Eddie Rosales,6,6,0.5,1,1,0.5,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Payton Jepsen,103,61,0.628,19,22,0.463,0,0,0,16,13,0.552,0,3,0,0,4,0,1,2,0.333,0,0,0
Treyton Card,76,48,0.613,19,25,0.432,0,0,0,5,8,0.385,0,2,0,2,9,0.182,9,6,0.6,0,0,0
Tanner Gill,45,21,0.682,12,16,0.429,0,0,0,7,13,0.35,1,2,0.333,0,0,0,1,1,0.5,1,0,1
Michael Farrell,31,30,0.508,10,15,0.4,0,0,0,8,14,0.364,0,0,0,0,0,0,0,1,0,0,0,0
Isaac Nass,12,12,0.5,6,9,0.4,0,0,0,3,9,0.25,1,0,1,0,0,0,0,0,0,0,0,0
Jace Drape,39,43,0.476,8,16,0.333,0,0,0,4,7,0.364,0,0,0,0,1,0,4,8,0.333,0,0,0
Eli Kirtz,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aiden Mcgraw,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Mielke,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Schmitz,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
