name,Match Points,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Tyson Meyer,255,68,0.789,80,2,0.976,13,47,0.217,10,2,0.833,1,0,1,6,0,1,7,8,0.467,2,1,0.667
Tyler VanLuik,161,69,0.7,51,9,0.85,18,20,0.474,2,2,0.5,0,2,0,5,4,0.556,10,4,0.714,3,1,0.75
Easton McCrory,241,136,0.639,55,18,0.753,16,52,0.235,19,2,0.905,5,9,0.357,10,3,0.769,6,9,0.4,5,3,0.625
Torii Johnson,10,3,0.769,3,1,0.75,2,1,0.667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Mason Blair,174,75,0.699,31,12,0.721,11,25,0.306,14,3,0.824,6,3,0.667,11,1,0.917,7,1,0.875,8,1,0.889
Jakob Swalla,157,101,0.609,37,17,0.685,25,29,0.463,3,2,0.6,1,1,0.5,6,0,1,7,13,0.35,3,3,0.5
Nathan Rankin,44,31,0.587,13,6,0.684,4,5,0.444,1,3,0.25,1,1,0.5,4,1,0.8,1,0,1,0,2,0
Dylan Jergenson,216,131,0.622,56,30,0.651,28,36,0.438,10,5,0.667,4,2,0.667,8,3,0.727,7,12,0.368,8,3,0.727
Chase Boelke,75,51,0.595,14,8,0.636,3,3,0.5,6,4,0.6,3,0,1,6,1,0.857,2,0,1,6,2,0.75
Ryan VanLuik,119,131,0.476,32,23,0.582,11,23,0.324,5,5,0.5,1,1,0.5,4,7,0.364,2,4,0.333,5,6,0.455
Jackson Stadsvold,169,154,0.523,32,24,0.571,21,18,0.538,9,14,0.391,5,2,0.714,8,2,0.8,6,6,0.5,8,2,0.8
Jacob Blair,235,179,0.568,41,36,0.532,30,23,0.566,14,11,0.56,5,2,0.714,10,6,0.625,8,13,0.381,6,6,0.5
Max Reichmann,146,136,0.518,30,29,0.508,29,16,0.644,6,7,0.462,3,3,0.5,3,5,0.375,6,8,0.429,2,5,0.286
Mason Schiffler,4,9,0.308,1,1,0.5,0,0,0,1,1,0.5,2,0,1,0,1,0,0,0,0,0,1,0
David Lilenthal,77,93,0.453,16,17,0.485,8,12,0.4,1,5,0.167,0,1,0,3,5,0.375,1,3,0.25,2,3,0.4
Jacob Lien,65,48,0.575,12,13,0.48,7,11,0.389,7,0,1,0,1,0,3,3,0.5,2,0,1,5,0,1
Isiah Miller,25,23,0.521,6,7,0.462,6,0,1,1,2,0.333,0,0,0,1,1,0.5,1,1,0.5,1,1,0.5
Adam Larson,111,165,0.402,16,24,0.4,14,11,0.56,14,15,0.483,7,2,0.778,4,11,0.267,8,4,0.667,7,7,0.5
Dylan Koubsky,8,10,0.444,1,2,0.333,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,1
Tyrone Walsh,14,19,0.424,3,6,0.333,2,2,0.5,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0.667
Caden Koziol,90,181,0.332,15,34,0.306,13,6,0.684,3,7,0.3,1,2,0.333,3,13,0.188,5,1,0.833,7,13,0.35
Nick Ankeny,26,49,0.347,5,16,0.238,8,4,0.667,1,2,0.333,0,2,0,2,2,0.5,0,1,0,0,1,0
Jayce Kovarik,16,9,0.64,1,4,0.2,1,1,0.5,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0
Miles Reichmann,4,24,0.143,0,8,0,3,1,0.75,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0
