name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Blake Vagle,208,4,0.981,38,9,0.809,0,0,0,18,3,0.857,6,0,1,4,3,0.571,7,3,0.7,0,0,0
Luke Knudsen,164,4,0.976,34,9,0.791,0,0,0,7,0,1,3,1,0.75,8,3,0.727,14,5,0.737,0,0,0
Nick McKenzie,178,12,0.937,36,12,0.75,0,1,0,21,1,0.955,0,0,0,3,2,0.6,7,6,0.538,0,1,0
Everett Halvorson,14,0,1,5,2,0.714,0,1,0,1,0,1,0,0,0,1,0,1,3,1,0.75,0,0,0
Ty Bisek,141,22,0.865,29,14,0.674,0,0,0,10,1,0.909,1,0,1,2,2,0.5,10,11,0.476,0,0,0
Luke Ruter,73,12,0.859,20,12,0.625,2,1,0.667,4,1,0.8,0,3,0,4,2,0.667,8,5,0.615,0,0,0
Brody Duke,15.5,0,1,5,3,0.625,0,0,0,1,3,0.25,1,0,1,1,0,1,0,0,0,0,0,0
Kayden Wenninger,65,10,0.867,17,14,0.548,0,0,0,9,8,0.529,0,0,0,0,1,0,5,4,0.556,0,0,0
Tim Thein,78,30,0.722,23,19,0.548,0,0,0,5,10,0.333,0,0,0,1,1,0.5,13,8,0.619,0,0,0
Grant Hubbard,36.5,11,0.768,7,6,0.538,0,0,0,4,3,0.571,1,1,0.5,0,0,0,0,2,0,0,0,0
Carson McCain,8,0,1,2,3,0.4,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0.5,0,0,0
Jon Garcia,31,24,0.564,6,14,0.3,0,0,0,0,6,0,0,1,0,0,0,0,3,4,0.429,0,0,0
Jace Neal,9,34,0.209,4,11,0.267,0,0,0,0,9,0,0,0,0,2,1,0.667,1,1,0.5,0,0,0
Brian Johnson,0,18,0,1,3,0.25,0,0,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Halvorson,0,6,0,1,3,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Brody Lien,4,22,0.154,2,7,0.222,0,0,0,0,4,0,0,0,0,1,1,0.5,0,2,0,0,0,0
Reid Holmquist,7,30,0.189,3,13,0.188,0,0,0,0,8,0,0,1,0,0,1,0,1,3,0.25,0,0,0
