name,Match Points,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Karter Wixon,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Budden,200,91,0.687,25,12,0.676,11,7,0.611,10,11,0.476,4,3,0.571,7,1,0.875,3,4,0.429,6,1,0.857
Eric Lange,204,170,0.545,42,22,0.656,17,33,0.34,12,5,0.706,1,4,0.2,3,2,0.6,2,6,0.25,2,3,0.4
Jesse Fenton,189,167,0.531,36,22,0.621,11,26,0.297,12,6,0.667,0,3,0,5,9,0.357,0,2,0,3,5,0.375
Carson Wipf,136,106,0.562,20,14,0.588,7,16,0.304,3,7,0.3,3,3,0.5,4,2,0.667,4,3,0.571,1,2,0.333
Jayden Hoss,11,13,0.458,4,3,0.571,0,2,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0.5
Nate Bobendrier,105,97,0.52,16,16,0.5,7,9,0.438,7,8,0.467,0,2,0,10,4,0.714,1,0,1,4,2,0.667
Izak Wixon,14,23,0.378,3,3,0.5,3,1,0.75,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0
JJ Martens,125,108,0.536,18,19,0.486,10,17,0.37,7,6,0.538,2,3,0.4,3,3,0.5,0,2,0,4,3,0.571
Hudson Burnett,65,92,0.414,11,14,0.44,9,8,0.529,3,5,0.375,0,2,0,1,3,0.25,1,0,1,2,2,0.5
Angel Campos,45,81,0.357,11,14,0.44,9,8,0.529,2,7,0.222,0,1,0,0,6,0,0,0,0,0,4,0
Nick Colvin,33,105,0.239,6,14,0.3,2,3,0.4,0,2,0,0,0,0,2,2,0.5,2,0,1,0,4,0
Rogen Smidt,32,89,0.264,6,19,0.24,4,3,0.571,2,4,0.333,2,2,0.5,0,4,0,3,0,1,0,4,0
Mason Krakow,18,53,0.254,2,12,0.143,3,0,1,0,2,0,2,0,1,0,4,0,1,2,0.333,0,0,0
Allen Tubbs,25,142,0.15,2,30,0.063,10,1,0.909,3,3,0.5,0,1,0,0,13,0,2,0,1,1,5,0.167
Tyler DeGroot,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Nolan,1,13,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter St. Aubin,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
