name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Karter Wixon,6,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grant Budden,148,21,0.876,30,12,0.714,0,0,0,16,1,0.941,2,0,1,0,0,0,7,11,0.389,0,0,0
Eric Lange,116,27,0.811,28,13,0.683,2,0,1,10,0,1,0,0,0,5,5,0.5,5,8,0.385,0,0,0
Jayden Hoss,24,12,0.667,7,4,0.636,0,0,0,4,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Carson Wipf,65,27,0.707,17,12,0.586,0,0,0,3,5,0.375,0,1,0,5,2,0.714,6,4,0.6,0,0,0
JJ Martens,67,34,0.663,18,13,0.581,0,1,0,4,6,0.4,1,0,1,2,2,0.5,5,4,0.556,0,0,0
Jesse Fenton,100,50,0.667,22,17,0.564,0,1,0,13,8,0.619,0,0,0,2,3,0.4,3,5,0.375,0,0,0
Rogen Smidt,56,46,0.549,12,14,0.462,0,0,0,8,13,0.381,0,0,0,0,1,0,0,0,0,0,0,0
Nate Bobendrier,78.5,60,0.567,17,20,0.459,0,1,0,9,11,0.45,0,0,0,2,1,0.667,2,5,0.286,0,1,0
Hudson Burnett,33,26,0.559,6,9,0.4,0,1,0,3,2,0.6,0,0,0,0,3,0,3,3,0.5,0,0,0
Nick Colvin,57,80,0.416,12,19,0.387,0,0,0,5,12,0.294,0,1,0,0,2,0,0,4,0,0,0,0
Mason Krakow,36,75,0.324,10,18,0.357,0,0,0,2,16,0.111,0,0,0,0,0,0,2,2,0.5,0,0,0
Scott Nolan,6,12,0.333,1,2,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter St. Aubin,6,12,0.333,1,2,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Campos,22,68,0.244,6,16,0.273,0,0,0,2,13,0.133,0,1,0,0,0,0,2,2,0.5,0,0,0
Izak Wixon,6,18,0.25,1,4,0.2,0,0,0,1,2,0.333,0,0,0,0,0,0,0,2,0,0,0,0
Allen Tubbs,20,105,0.16,4,24,0.143,0,0,0,2,20,0.091,0,2,0,0,2,0,0,0,0,0,0,0
Tyler DeGroot,0,27,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
