name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Shaun Bestland,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chase Corner,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayden Friese,185.5,3,0.984,40,3,0.93,0,0,0,14,0,1,3,0,1,4,1,0.8,12,2,0.857,0,0,0
Hunter Gullickson,18,6,0.75,3,1,0.75,0,0,0,2,1,0.667,0,0,0,0,0,0,0,0,0,0,0,0
Gunner Stier,124,16,0.886,32,14,0.696,0,0,0,7,1,0.875,2,1,0.667,5,2,0.714,9,10,0.474,3,0,1
Jack Howard,146,25,0.854,28,14,0.667,0,1,0,16,3,0.842,0,0,0,1,2,0.333,5,7,0.417,0,0,0
Luke Kluver,138,34,0.802,28,17,0.622,0,0,0,19,10,0.655,0,1,0,0,2,0,3,4,0.429,0,0,0
Luis Guzman,6,0,1,3,2,0.6,0,0,0,2,1,0.667,0,0,0,0,1,0,0,0,0,0,0,0
David Hidalgo,49,34,0.59,13,12,0.52,0,0,0,9,7,0.563,0,0,0,0,1,0,1,4,0.2,0,0,0
Quinn Kotek,5,0,1,2,2,0.5,0,0,0,1,2,0.333,0,0,0,1,0,1,0,0,0,0,0,0
Derrick Lien,6,0,1,2,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brady Rhode,18,12,0.6,6,7,0.462,0,0,0,2,6,0.25,0,0,0,0,0,0,0,1,0,0,0,0
Tarrick Rupp,1,3,0.25,2,3,0.4,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.5,0,0,0
Hunter Wilke,42.5,42,0.503,12,21,0.364,1,2,0.333,4,8,0.333,1,6,0.143,1,0,1,5,5,0.5,0,0,0
Jaden Gorres,33.5,72,0.318,10,18,0.357,0,0,0,0,18,0,1,0,1,0,0,0,1,0,1,0,0,0
Abel Chaparro,39,65,0.375,12,23,0.343,0,0,0,4,16,0.2,0,2,0,2,1,0.667,4,3,0.571,0,0,0
Sam Ohliger,41,57,0.418,8,20,0.286,0,0,0,8,12,0.4,0,1,0,0,2,0,0,3,0,0,0,0
Cole Fischer,60,69,0.465,11,28,0.282,0,0,0,3,20,0.13,0,0,0,0,2,0,1,6,0.143,0,0,0
Javier Jackson,43.5,66,0.397,9,23,0.281,0,0,0,1,13,0.071,1,0,1,0,5,0,3,5,0.375,0,0,0
Caleb Hoff,27,29,0.482,5,16,0.238,0,0,0,4,13,0.235,0,2,0,0,0,0,0,1,0,0,0,0
Hunter Wolf,39,60,0.394,7,24,0.226,0,0,0,4,16,0.2,0,0,0,0,0,0,0,4,0,0,0,0
Nolan Hildahl,8,41,0.163,4,16,0.2,0,0,0,0,10,0,0,1,0,0,1,0,1,4,0.2,0,0,0
Richard Vaughn,9,63,0.125,3,19,0.136,0,0,0,1,16,0.059,0,1,0,0,2,0,0,0,0,0,0,0
Wyatt Dambroten,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
