name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Cael Swensen,294,0,1,48,5,0.906,0,1,0,29,0,1,5,0,1,4,0,1,8,3,0.727,0,0,0
Adam Cherne,227,0,1,38,6,0.864,1,0,1,27,0,1,0,1,0,1,1,0.5,7,4,0.636,0,0,0
Calvin Lonnquist,253,0,1,44,8,0.846,0,0,0,31,2,0.939,0,1,0,6,2,0.75,6,3,0.667,0,0,0
Kyler Wong,204.5,3,0.986,43,10,0.811,0,0,0,17,2,0.895,1,1,0.5,6,2,0.75,16,5,0.762,0,0,0
Albert Nabozny,24,0,1,4,1,0.8,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0.5,0,0,0
Parker Cary,185,3,0.984,36,9,0.8,0,0,0,18,2,0.9,1,0,1,7,1,0.875,9,6,0.6,0,0,0
Parker Wolff,0,0,0,4,1,0.8,0,0,0,2,1,0.667,2,0,1,0,0,0,0,0,0,0,0,0
Cayden Homme,237.5,3,0.988,38,11,0.776,1,0,1,26,1,0.963,2,0,1,4,3,0.571,2,7,0.222,0,0,0
Will Skogrand,71,10,0.877,16,5,0.762,1,0,1,7,2,0.778,1,0,1,3,1,0.75,2,2,0.5,0,0,0
Cole Ciardelli,52,3,0.945,8,3,0.727,0,0,0,6,0,1,0,1,0,1,0,1,1,2,0.333,0,0,0
Louis Scott,46.5,0,1,11,5,0.688,0,0,0,6,0,1,1,0,1,0,2,0,4,3,0.571,0,0,0
Charles Hodges,11,0,1,3,2,0.6,0,0,0,2,1,0.667,1,0,1,0,0,0,0,1,0,0,0,0
Elijah Wald,40,0,1,10,7,0.588,0,0,0,1,1,0.5,0,0,0,4,2,0.667,4,4,0.5,0,0,0
Jac Carver,159,27,0.855,26,19,0.578,0,0,0,17,16,0.515,0,0,0,0,0,0,5,3,0.625,0,0,0
Matthew Wallerius,101,15,0.871,17,15,0.531,0,0,0,7,2,0.778,0,0,0,3,3,0.5,4,8,0.333,0,0,0
Dominic Heim,130,21,0.861,26,23,0.531,0,0,0,21,10,0.677,0,0,0,1,4,0.2,2,9,0.182,0,0,0
Adam El Damir,109,33,0.768,23,23,0.5,0,0,0,9,7,0.563,0,2,0,2,5,0.286,10,9,0.526,0,0,0
Max Bunning,52,9,0.852,7,7,0.5,0,0,0,5,4,0.556,0,0,0,0,1,0,1,1,0.5,0,0,0
Sergio Newell,6,0,1,2,2,0.5,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Nierman,41,36,0.532,9,11,0.45,0,0,0,5,10,0.333,0,0,0,1,0,1,1,1,0.5,0,0,0
Lucas Ojeda,44.5,42,0.514,13,22,0.371,2,1,0.667,7,14,0.333,1,1,0.5,2,3,0.4,0,3,0,0,0,0
Austin Franchino,47,42,0.528,8,17,0.32,0,0,0,1,11,0.083,0,0,0,0,2,0,0,3,0,0,0,0
Gage Knutson,58,57,0.504,11,26,0.297,0,0,0,6,20,0.231,0,0,0,1,1,0.5,3,5,0.375,0,0,0
Elliot Omlid,37,34,0.521,8,24,0.25,0,0,0,5,13,0.278,0,2,0,0,4,0,1,5,0.167,0,0,0
Edgar Garcia,21,34,0.382,3,9,0.25,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0
James Hodges,7,3,0.7,2,6,0.25,0,0,0,0,4,0,0,0,0,0,1,0,2,1,0.667,0,0,0
Zachary Vaa,26,55,0.321,5,18,0.217,0,0,0,3,10,0.231,0,2,0,0,1,0,0,5,0,0,0,0
Finley Maanum,10,3,0.769,1,4,0.2,0,0,0,1,2,0.333,0,0,0,0,0,0,0,2,0,0,0,0
William Bernard,4,12,0.25,1,7,0.125,0,0,0,1,7,0.125,0,0,0,0,0,0,0,0,0,0,0,0
Justin Bresina,0,27,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
Drew Daniels,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaid Elbaroudi,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Manley,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Stahl,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
