name,Team Points,,,wins,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Cael Carlson,221.5,0,1,44,0,1,0,0,0,31,0,1,2,0,1,2,0,1,4,0,1,0,0,0
Andrew Reigstad,164,3,0.982,37,3,0.925,0,0,0,21,0,1,0,0,0,1,0,1,9,3,0.75,0,0,0
Lincoln Shinn,187,0,1,37,3,0.925,0,0,0,25,2,0.926,0,0,0,2,0,1,2,0,1,0,0,0
Josh Miley,140,10,0.933,34,7,0.829,0,0,0,8,0,1,5,0,1,6,2,0.75,11,5,0.688,0,0,0
Jacob Leiva,72,6,0.923,15,4,0.789,0,0,0,11,3,0.786,0,0,0,2,0,1,1,0,1,0,0,0
Braeden Erickson,102,3,0.971,24,8,0.75,0,0,0,11,1,0.917,0,2,0,6,1,0.857,5,4,0.556,0,0,0
Charlie Farhat,143,12,0.923,31,11,0.738,0,0,0,19,4,0.826,0,0,0,0,0,0,3,5,0.375,1,2,0.333
Kaden Streed,123.5,18,0.873,32,13,0.711,2,0,1,15,4,0.789,1,1,0.5,1,1,0.5,8,7,0.533,0,0,0
Harley Anez,68,9,0.883,14,6,0.7,1,1,0.5,11,2,0.846,0,0,0,0,1,0,1,2,0.333,0,0,0
Grant Deegan,94.5,24,0.797,28,13,0.683,0,0,0,7,4,0.636,7,1,0.875,2,2,0.5,8,6,0.571,0,0,0
Alex Backes,95,18,0.841,23,11,0.676,0,0,0,9,0,1,0,1,0,2,1,0.667,7,9,0.438,0,0,0
Caden Carlson,118,17,0.874,26,13,0.667,0,1,0,9,0,1,0,0,0,5,3,0.625,7,9,0.438,0,0,0
Mason Swanson,106.5,3,0.973,26,13,0.667,0,0,0,15,9,0.625,1,1,0.5,3,1,0.75,3,2,0.6,0,0,0
Romero Trevino,22,0,1,4,2,0.667,0,0,0,1,2,0.333,0,0,0,0,0,0,1,0,1,0,0,0
Ethan Roux,112,27,0.806,27,14,0.659,0,2,0,14,2,0.875,0,1,0,0,2,0,5,7,0.417,0,0,0
Jack Roehl,102.5,28,0.785,22,13,0.629,0,0,0,10,5,0.667,1,2,0.333,2,1,0.667,4,5,0.444,0,0,0
Blake Lara,15,0,1,3,2,0.6,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Jonas Anez,78,27,0.743,21,14,0.6,0,0,0,6,1,0.857,0,0,0,2,4,0.333,9,9,0.5,0,0,0
Eric Garcia,4,0,1,3,2,0.6,0,0,0,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0
Taggert Reynolds,24,15,0.615,4,3,0.571,0,1,0,3,2,0.6,0,0,0,0,0,0,1,0,1,0,0,0
La Blue Moo,18,18,0.5,6,5,0.545,0,0,0,4,3,0.571,0,0,0,0,0,0,2,2,0.5,0,0,0
Joe Kallevig,23.5,12,0.662,9,8,0.529,0,0,0,4,5,0.444,1,0,1,1,1,0.5,3,2,0.6,0,0,0
Dylan Saue,30,15,0.667,8,8,0.5,0,0,0,4,6,0.4,0,0,0,0,0,0,4,2,0.667,0,0,0
Cristian Rivera,2,0,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Gatewood,21,9,0.7,7,8,0.467,0,0,0,4,5,0.444,0,0,0,0,0,0,1,3,0.25,0,0,0
Peter Coverdell,19,3,0.864,5,7,0.417,0,0,0,1,6,0.143,0,0,0,0,0,0,3,1,0.75,0,0,0
Lonnie Sanchez,27,6,0.818,7,10,0.412,0,0,0,4,9,0.308,0,0,0,1,0,1,0,1,0,0,0,0
Marco Sanchez,30,46,0.395,10,15,0.4,0,0,0,2,11,0.154,0,0,0,1,2,0.333,3,2,0.6,0,0,0
Carson Eichhorst,0,0,0,1,2,0.333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Josh Gomez,0,0,0,1,2,0.333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Isaac Zelaya,0,0,0,1,2,0.333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Zelaya-Velasquez,0,16,0,2,7,0.222,0,0,0,2,2,0.5,0,0,0,0,2,0,0,3,0,0,0,0
